date,Major Incident Type,Incident Count
31/05/2011,Medical/Rescue,69
24/06/2011,Public Service Assistance,14
04/10/2011,Investigation,17
04/10/2011,Medical/Rescue,74
04/10/2011,Public Service Assistance,2
05/10/2011,False Alarm,26
05/10/2011,Fire,6
05/10/2011,Hazardous Condition,25
05/10/2011,Investigation,16
05/10/2011,Medical/Rescue,68
05/10/2011,Public Service Assistance,12
06/10/2011,Hazardous Condition,16
06/10/2011,Investigation,13
06/10/2011,Public Service Assistance,9
07/10/2011,Fire,3
07/10/2011,Hazardous Condition,21
07/10/2011,Investigation,5
07/10/2011,Medical/Rescue,75
07/10/2011,Public Service Assistance,10
08/10/2011,Hazardous Condition,15
08/10/2011,Investigation,15
08/10/2011,Medical/Rescue,66
08/10/2011,Public Service Assistance,1
09/10/2011,False Alarm,21
09/10/2011,Hazardous Condition,13
09/10/2011,Investigation,15
09/10/2011,Medical/Rescue,61
09/10/2011,Public Service Assistance,12
10/10/2011,False Alarm,23
10/10/2011,Hazardous Condition,11
10/10/2011,Investigation,7
10/10/2011,Medical/Rescue,54
10/10/2011,Public Service Assistance,12
11/10/2011,False Alarm,23
11/10/2011,Hazardous Condition,21
11/10/2011,Investigation,14
11/10/2011,Medical/Rescue,83
11/10/2011,Public Service Assistance,8
12/10/2011,False Alarm,17
12/10/2011,Hazardous Condition,27
12/10/2011,Investigation,12
12/10/2011,Medical/Rescue,62
10/04/2010,Medical/Rescue,59
26/04/2010,Public Service Assistance,9
06/09/2010,False Alarm,23
01/10/2010,Fire,9
10/10/2010,False Alarm,24
25/10/2010,Hazardous Condition,26
30/12/2010,Hazardous Condition,34
31/01/2011,Medical/Rescue,75
02/03/2011,Medical/Rescue,55
09/04/2011,Public Service Assistance,9
11/06/2011,Severe Weather,2
06/07/2011,False Alarm,28
12/10/2011,Public Service Assistance,2
13/10/2011,False Alarm,29
13/10/2011,Hazardous Condition,23
13/10/2011,Investigation,13
13/10/2011,Medical/Rescue,62
13/10/2011,Public Service Assistance,9
14/10/2011,False Alarm,31
14/10/2011,Hazardous Condition,19
14/10/2011,Investigation,15
14/10/2011,Medical/Rescue,63
14/10/2011,Public Service Assistance,6
15/10/2011,False Alarm,37
15/10/2011,Hazardous Condition,27
15/10/2011,Investigation,14
15/10/2011,Medical/Rescue,58
15/10/2011,Public Service Assistance,6
16/10/2011,False Alarm,19
16/10/2011,Hazardous Condition,18
16/10/2011,Investigation,16
16/10/2011,Medical/Rescue,67
16/10/2011,Public Service Assistance,8
17/10/2011,False Alarm,30
17/10/2011,Hazardous Condition,25
17/10/2011,Investigation,14
17/10/2011,Medical/Rescue,72
17/10/2011,Public Service Assistance,3
18/10/2011,Hazardous Condition,33
18/10/2011,Investigation,21
18/10/2011,Medical/Rescue,63
18/10/2011,Public Service Assistance,9
19/10/2011,Hazardous Condition,17
19/10/2011,Investigation,19
19/10/2011,Medical/Rescue,61
19/10/2011,Public Service Assistance,6
20/10/2011,False Alarm,22
11/02/2010,Fire,6
19/05/2010,Rupture/Explosion,1
05/06/2010,Fire,2
04/07/2010,Public Service Assistance,10
20/07/2010,Hazardous Condition,25
14/08/2010,Hazardous Condition,18
10/10/2010,Fire,15
26/11/2010,False Alarm,22
29/03/2011,Hazardous Condition,24
03/05/2011,Investigation,11
06/07/2011,Fire,20
19/08/2011,Public Service Assistance,4
09/10/2011,Fire,5
20/10/2011,Hazardous Condition,29
20/10/2011,Investigation,13
20/10/2011,Medical/Rescue,64
20/10/2011,Public Service Assistance,9
21/10/2011,False Alarm,30
21/10/2011,Hazardous Condition,17
21/10/2011,Investigation,18
21/10/2011,Medical/Rescue,71
21/10/2011,Public Service Assistance,7
22/10/2011,Hazardous Condition,22
22/10/2011,Investigation,14
22/10/2011,Medical/Rescue,71
22/10/2011,Public Service Assistance,7
23/10/2011,False Alarm,11
23/10/2011,Hazardous Condition,13
23/10/2011,Investigation,10
23/10/2011,Medical/Rescue,53
23/10/2011,Public Service Assistance,5
24/10/2011,False Alarm,19
24/10/2011,Hazardous Condition,21
24/10/2011,Investigation,6
24/10/2011,Medical/Rescue,67
24/10/2011,Public Service Assistance,5
25/10/2011,False Alarm,20
25/10/2011,Fire,3
25/10/2011,Hazardous Condition,23
25/10/2011,Investigation,10
25/10/2011,Medical/Rescue,65
25/10/2011,Public Service Assistance,6
26/10/2011,False Alarm,34
26/10/2011,Hazardous Condition,16
26/10/2011,Investigation,15
26/10/2011,Medical/Rescue,68
26/10/2011,Public Service Assistance,4
27/10/2011,Hazardous Condition,19
03/01/2010,Fire,1
09/03/2010,Investigation,7
10/05/2010,Medical/Rescue,47
21/08/2010,Hazardous Condition,12
06/09/2010,Hazardous Condition,13
21/12/2010,Public Service Assistance,9
20/02/2011,Public Service Assistance,7
29/03/2011,Medical/Rescue,64
20/08/2011,Hazardous Condition,12
27/10/2011,Investigation,6
27/10/2011,Medical/Rescue,63
27/10/2011,Public Service Assistance,2
27/10/2011,Rupture/Explosion,1
28/10/2011,False Alarm,27
28/10/2011,Hazardous Condition,29
28/10/2011,Investigation,18
28/10/2011,Medical/Rescue,75
28/10/2011,Public Service Assistance,6
29/10/2011,False Alarm,25
29/10/2011,Hazardous Condition,28
29/10/2011,Investigation,11
29/10/2011,Medical/Rescue,64
29/10/2011,Public Service Assistance,14
30/10/2011,Hazardous Condition,23
30/10/2011,Investigation,17
30/10/2011,Public Service Assistance,13
31/10/2011,False Alarm,22
31/10/2011,Hazardous Condition,26
31/10/2011,Investigation,10
31/10/2011,Medical/Rescue,81
31/10/2011,Public Service Assistance,6
01/11/2011,False Alarm,18
01/11/2011,Hazardous Condition,27
01/11/2011,Investigation,12
01/11/2011,Medical/Rescue,77
01/11/2011,Public Service Assistance,10
02/11/2011,False Alarm,23
02/11/2011,Fire,6
02/11/2011,Hazardous Condition,23
02/11/2011,Investigation,13
02/11/2011,Medical/Rescue,63
02/11/2011,Public Service Assistance,10
03/11/2011,False Alarm,26
03/11/2011,Fire,2
03/11/2011,Hazardous Condition,16
07/11/2011,Fire,5
09/11/2011,Hazardous Condition,25
09/11/2011,Investigation,17
09/11/2011,Medical/Rescue,67
09/11/2011,Public Service Assistance,10
10/04/2010,Public Service Assistance,7
14/06/2010,Medical/Rescue,62
12/07/2010,Hazardous Condition,44
04/08/2010,Medical/Rescue,71
14/09/2010,Public Service Assistance,6
11/12/2010,Public Service Assistance,14
10/04/2011,False Alarm,18
10/11/2011,Fire,8
10/11/2011,Hazardous Condition,33
10/11/2011,Investigation,12
10/11/2011,Medical/Rescue,53
10/11/2011,Public Service Assistance,5
11/11/2011,Hazardous Condition,18
11/11/2011,Investigation,20
11/11/2011,Medical/Rescue,55
11/11/2011,Public Service Assistance,11
11/11/2011,Rupture/Explosion,2
12/11/2011,False Alarm,12
12/11/2011,Hazardous Condition,16
12/11/2011,Investigation,18
12/11/2011,Public Service Assistance,7
13/11/2011,Fire,5
13/11/2011,Hazardous Condition,17
13/11/2011,Investigation,4
13/11/2011,Medical/Rescue,75
13/11/2011,Public Service Assistance,3
14/11/2011,Fire,3
14/11/2011,Hazardous Condition,26
14/11/2011,Investigation,15
14/11/2011,Medical/Rescue,69
14/11/2011,Public Service Assistance,5
15/11/2011,False Alarm,20
15/11/2011,Hazardous Condition,33
15/11/2011,Investigation,9
15/11/2011,Medical/Rescue,64
15/11/2011,Public Service Assistance,3
15/11/2011,Severe Weather,1
16/11/2011,False Alarm,28
16/11/2011,Fire,6
16/11/2011,Hazardous Condition,20
16/11/2011,Investigation,11
16/11/2011,Medical/Rescue,68
16/11/2011,Public Service Assistance,4
17/11/2011,Fire,2
17/11/2011,Hazardous Condition,27
17/11/2011,Investigation,11
17/11/2011,Medical/Rescue,64
17/11/2011,Public Service Assistance,11
18/11/2011,Hazardous Condition,18
18/11/2011,Investigation,19
18/11/2011,Medical/Rescue,66
18/11/2011,Public Service Assistance,10
09/03/2010,Medical/Rescue,45
20/05/2010,False Alarm,18
20/05/2010,Fire,2
21/06/2010,Fire,8
21/06/2010,Hazardous Condition,23
20/07/2010,Investigation,14
21/08/2010,Investigation,13
06/09/2010,Investigation,12
08/01/2011,Investigation,15
31/01/2011,Public Service Assistance,9
29/03/2011,Public Service Assistance,9
27/07/2011,Fire,2
19/11/2011,Hazardous Condition,23
19/11/2011,Investigation,9
19/11/2011,Medical/Rescue,77
19/11/2011,Public Service Assistance,13
20/11/2011,False Alarm,30
20/11/2011,Hazardous Condition,27
20/11/2011,Investigation,17
20/11/2011,Medical/Rescue,84
20/11/2011,Public Service Assistance,10
23/11/2011,Hazardous Condition,23
23/11/2011,Investigation,7
23/11/2011,Medical/Rescue,67
23/11/2011,Public Service Assistance,17
24/11/2011,Hazardous Condition,24
24/11/2011,Investigation,7
24/11/2011,Medical/Rescue,77
24/11/2011,Public Service Assistance,7
25/11/2011,False Alarm,22
25/11/2011,Hazardous Condition,16
25/11/2011,Investigation,14
25/11/2011,Medical/Rescue,71
25/11/2011,Public Service Assistance,7
26/11/2011,False Alarm,26
26/11/2011,Hazardous Condition,23
26/11/2011,Investigation,11
26/11/2011,Medical/Rescue,76
26/11/2011,Public Service Assistance,6
27/11/2011,False Alarm,30
27/11/2011,Fire,15
27/11/2011,Investigation,46
27/11/2011,Medical/Rescue,78
27/11/2011,Public Service Assistance,77
27/11/2011,Severe Weather,135
28/11/2011,Investigation,8
28/11/2011,Medical/Rescue,66
28/11/2011,Public Service Assistance,11
10/03/2010,False Alarm,12
11/04/2010,False Alarm,28
20/05/2010,Hazardous Condition,14
28/08/2010,Public Service Assistance,11
26/11/2010,Hazardous Condition,25
22/12/2010,Fire,2
21/02/2011,False Alarm,22
19/03/2011,Public Service Assistance,8
20/08/2011,Investigation,10
28/11/2011,Severe Weather,2
29/11/2011,Hazardous Condition,30
29/11/2011,Investigation,11
29/11/2011,Medical/Rescue,85
29/11/2011,Public Service Assistance,4
29/11/2011,Severe Weather,1
30/11/2011,False Alarm,28
30/11/2011,Hazardous Condition,26
30/11/2011,Medical/Rescue,74
30/11/2011,Public Service Assistance,9
01/12/2011,False Alarm,23
01/12/2011,Hazardous Condition,23
01/12/2011,Investigation,9
01/12/2011,Medical/Rescue,94
01/12/2011,Public Service Assistance,4
02/12/2011,False Alarm,31
02/12/2011,Hazardous Condition,28
02/12/2011,Investigation,10
02/12/2011,Medical/Rescue,62
02/12/2011,Public Service Assistance,8
03/12/2011,Fire,6
03/12/2011,Hazardous Condition,29
03/12/2011,Investigation,13
03/12/2011,Medical/Rescue,93
03/12/2011,Public Service Assistance,4
04/12/2011,False Alarm,21
04/12/2011,Fire,1
04/12/2011,Hazardous Condition,18
04/12/2011,Investigation,12
04/12/2011,Medical/Rescue,77
04/12/2011,Public Service Assistance,3
05/12/2011,False Alarm,27
05/12/2011,Hazardous Condition,13
05/12/2011,Investigation,14
05/12/2011,Medical/Rescue,72
05/12/2011,Public Service Assistance,3
06/12/2011,Fire,1
06/12/2011,Hazardous Condition,21
06/12/2011,Investigation,6
06/12/2011,Medical/Rescue,73
06/12/2011,Public Service Assistance,2
07/12/2011,False Alarm,22
10/03/2010,Fire,4
29/03/2010,Medical/Rescue,69
05/06/2010,Hazardous Condition,12
21/06/2010,Investigation,16
28/07/2010,Hazardous Condition,28
28/07/2011,False Alarm,20
07/12/2011,Hazardous Condition,12
07/12/2011,Medical/Rescue,64
07/12/2011,Public Service Assistance,7
08/12/2011,Hazardous Condition,29
08/12/2011,Investigation,5
08/12/2011,Medical/Rescue,57
08/12/2011,Public Service Assistance,6
08/12/2011,Rupture/Explosion,1
09/12/2011,Fire,3
09/12/2011,Hazardous Condition,32
09/12/2011,Investigation,12
09/12/2011,Medical/Rescue,84
09/12/2011,Public Service Assistance,4
10/12/2011,Fire,6
10/12/2011,Hazardous Condition,21
10/12/2011,Investigation,11
10/12/2011,Medical/Rescue,80
10/12/2011,Public Service Assistance,6
11/12/2011,False Alarm,26
11/12/2011,Fire,1
11/12/2011,Hazardous Condition,20
11/12/2011,Investigation,11
11/12/2011,Medical/Rescue,56
11/12/2011,Public Service Assistance,2
12/12/2011,Hazardous Condition,24
12/12/2011,Medical/Rescue,75
12/12/2011,Public Service Assistance,3
13/12/2011,False Alarm,17
13/12/2011,Hazardous Condition,23
13/12/2011,Investigation,14
13/12/2011,Medical/Rescue,54
13/12/2011,Public Service Assistance,5
14/12/2011,False Alarm,9
14/12/2011,Hazardous Condition,14
14/12/2011,Investigation,15
14/12/2011,Medical/Rescue,60
14/12/2011,Public Service Assistance,7
15/12/2011,False Alarm,15
15/12/2011,Fire,2
15/12/2011,Hazardous Condition,26
15/12/2011,Medical/Rescue,64
15/12/2011,Public Service Assistance,5
16/12/2011,False Alarm,19
16/12/2011,Fire,3
16/12/2011,Hazardous Condition,28
16/12/2011,Investigation,12
16/12/2011,Medical/Rescue,90
16/12/2011,Public Service Assistance,7
11/04/2010,Fire,7
27/04/2010,False Alarm,27
20/05/2010,Investigation,8
05/06/2010,Investigation,19
29/06/2010,Investigation,17
14/08/2010,Investigation,14
25/10/2010,Investigation,9
09/11/2010,Investigation,16
12/12/2010,Hazardous Condition,17
19/01/2011,False Alarm,18
08/02/2011,Medical/Rescue,69
19/04/2011,Public Service Assistance,4
21/05/2011,Rupture/Explosion,1
20/08/2011,Medical/Rescue,61
17/12/2011,Medical/Rescue,67
17/12/2011,Public Service Assistance,4
18/12/2011,Hazardous Condition,12
18/12/2011,Investigation,12
18/12/2011,Medical/Rescue,75
18/12/2011,Public Service Assistance,3
19/12/2011,False Alarm,15
19/12/2011,Hazardous Condition,21
19/12/2011,Investigation,11
19/12/2011,Medical/Rescue,71
19/12/2011,Public Service Assistance,7
20/12/2011,False Alarm,19
20/12/2011,Fire,1
20/12/2011,Hazardous Condition,25
20/12/2011,Investigation,9
20/12/2011,Medical/Rescue,63
20/12/2011,Public Service Assistance,4
20/12/2011,Rupture/Explosion,1
21/12/2011,False Alarm,19
21/12/2011,Fire,3
21/12/2011,Hazardous Condition,26
21/12/2011,Investigation,7
21/12/2011,Medical/Rescue,63
21/12/2011,Public Service Assistance,2
22/12/2011,False Alarm,11
22/12/2011,Hazardous Condition,14
22/12/2011,Investigation,19
22/12/2011,Medical/Rescue,84
22/12/2011,Public Service Assistance,8
23/12/2011,Fire,2
23/12/2011,Hazardous Condition,12
23/12/2011,Investigation,8
09/11/2010,Medical/Rescue,59
22/12/2010,Hazardous Condition,30
10/03/2011,Investigation,10
20/04/2011,Hazardous Condition,21
28/07/2011,Fire,5
28/07/2011,Hazardous Condition,32
20/08/2011,Public Service Assistance,13
23/12/2011,Medical/Rescue,72
23/12/2011,Public Service Assistance,5
24/12/2011,False Alarm,24
24/12/2011,Fire,2
24/12/2011,Hazardous Condition,14
24/12/2011,Investigation,11
24/12/2011,Medical/Rescue,73
24/12/2011,Public Service Assistance,4
25/12/2011,False Alarm,10
25/12/2011,Hazardous Condition,7
25/12/2011,Investigation,5
25/12/2011,Medical/Rescue,79
25/12/2011,Public Service Assistance,8
25/12/2011,Rupture/Explosion,1
26/12/2011,False Alarm,9
26/12/2011,Fire,4
26/12/2011,Hazardous Condition,12
26/12/2011,Investigation,9
26/12/2011,Medical/Rescue,54
26/12/2011,Public Service Assistance,2
27/12/2011,False Alarm,15
27/12/2011,Fire,4
27/12/2011,Hazardous Condition,12
27/12/2011,Investigation,11
27/12/2011,Medical/Rescue,75
27/12/2011,Public Service Assistance,6
28/12/2011,False Alarm,20
28/12/2011,Fire,3
28/12/2011,Hazardous Condition,20
28/12/2011,Investigation,13
28/12/2011,Medical/Rescue,65
28/12/2011,Public Service Assistance,3
29/12/2011,False Alarm,11
29/12/2011,Fire,5
29/12/2011,Hazardous Condition,20
29/12/2011,Investigation,12
29/12/2011,Medical/Rescue,70
29/12/2011,Public Service Assistance,2
30/12/2011,Fire,5
30/12/2011,Hazardous Condition,19
30/12/2011,Investigation,12
30/12/2011,Medical/Rescue,74
30/12/2011,Public Service Assistance,6
31/12/2011,False Alarm,21
31/12/2011,Hazardous Condition,12
31/12/2011,Investigation,6
27/04/2010,Hazardous Condition,14
05/07/2010,False Alarm,10
06/09/2010,Medical/Rescue,50
08/01/2011,Medical/Rescue,60
20/03/2011,Hazardous Condition,11
30/03/2011,False Alarm,26
31/12/2011,Medical/Rescue,54
31/12/2011,Public Service Assistance,4
31/12/2011,Severe Weather,1
01/01/2012,False Alarm,28
01/01/2012,Hazardous Condition,14
01/01/2012,Investigation,14
01/01/2012,Medical/Rescue,72
01/01/2012,Public Service Assistance,9
01/01/2012,Severe Weather,1
02/01/2012,False Alarm,20
02/01/2012,Fire,8
02/01/2012,Hazardous Condition,8
02/01/2012,Investigation,10
02/01/2012,Medical/Rescue,82
02/01/2012,Public Service Assistance,7
03/01/2012,False Alarm,27
03/01/2012,Fire,5
03/01/2012,Hazardous Condition,14
03/01/2012,Investigation,9
03/01/2012,Medical/Rescue,79
03/01/2012,Public Service Assistance,8
03/01/2012,Rupture/Explosion,1
04/01/2012,False Alarm,12
04/01/2012,Hazardous Condition,33
04/01/2012,Investigation,11
04/01/2012,Medical/Rescue,64
04/01/2012,Public Service Assistance,8
04/01/2012,Severe Weather,2
05/01/2012,Hazardous Condition,15
05/01/2012,Investigation,15
05/01/2012,Medical/Rescue,83
05/01/2012,Public Service Assistance,8
06/01/2012,False Alarm,12
06/01/2012,Fire,2
06/01/2012,Hazardous Condition,20
06/01/2012,Investigation,13
06/01/2012,Medical/Rescue,61
06/01/2012,Public Service Assistance,5
07/01/2012,Hazardous Condition,19
07/01/2012,Investigation,8
07/01/2012,Medical/Rescue,61
07/01/2012,Public Service Assistance,6
08/01/2012,Hazardous Condition,7
08/01/2012,Investigation,10
08/01/2012,Medical/Rescue,52
08/01/2012,Public Service Assistance,2
08/01/2012,Severe Weather,1
09/01/2012,False Alarm,13
29/03/2010,Public Service Assistance,7
11/04/2010,Hazardous Condition,12
12/05/2010,Investigation,16
05/06/2010,Medical/Rescue,45
20/07/2010,Medical/Rescue,65
04/08/2010,Public Service Assistance,6
21/08/2010,Medical/Rescue,53
10/10/2010,Hazardous Condition,19
09/11/2010,Public Service Assistance,4
08/01/2011,Public Service Assistance,12
01/02/2011,False Alarm,28
10/04/2011,Hazardous Condition,14
31/05/2011,Public Service Assistance,12
25/06/2011,Hazardous Condition,26
09/01/2012,Hazardous Condition,16
09/01/2012,Investigation,10
09/01/2012,Medical/Rescue,65
09/01/2012,Public Service Assistance,5
10/01/2012,Investigation,8
10/01/2012,Medical/Rescue,83
10/01/2012,Public Service Assistance,2
11/01/2012,False Alarm,22
11/01/2012,Hazardous Condition,24
11/01/2012,Investigation,8
11/01/2012,Medical/Rescue,59
11/01/2012,Public Service Assistance,3
12/01/2012,False Alarm,23
12/01/2012,Hazardous Condition,15
12/01/2012,Investigation,13
12/01/2012,Medical/Rescue,58
12/01/2012,Public Service Assistance,9
13/01/2012,False Alarm,18
13/01/2012,Hazardous Condition,23
13/01/2012,Medical/Rescue,80
13/01/2012,Public Service Assistance,6
14/01/2012,False Alarm,22
14/01/2012,Hazardous Condition,13
14/01/2012,Investigation,7
14/01/2012,Medical/Rescue,61
14/01/2012,Public Service Assistance,7
15/01/2012,Hazardous Condition,27
15/01/2012,Investigation,15
15/01/2012,Medical/Rescue,65
09/01/2011,False Alarm,24
09/01/2011,Fire,2
30/03/2011,Hazardous Condition,23
05/01/2012,False Alarm,10
15/01/2012,Public Service Assistance,11
16/01/2012,Hazardous Condition,40
16/01/2012,Investigation,13
16/01/2012,Medical/Rescue,78
16/01/2012,Public Service Assistance,15
17/01/2012,False Alarm,68
17/01/2012,Hazardous Condition,53
17/01/2012,Investigation,23
17/01/2012,Medical/Rescue,70
17/01/2012,Public Service Assistance,32
17/01/2012,Severe Weather,1
18/01/2012,False Alarm,75
18/01/2012,Fire,3
18/01/2012,Hazardous Condition,45
18/01/2012,Investigation,21
18/01/2012,Medical/Rescue,99
18/01/2012,Public Service Assistance,28
19/01/2012,False Alarm,43
19/01/2012,Hazardous Condition,26
19/01/2012,Investigation,12
19/01/2012,Medical/Rescue,84
19/01/2012,Public Service Assistance,20
20/01/2012,False Alarm,36
20/01/2012,Hazardous Condition,32
20/01/2012,Investigation,16
20/01/2012,Medical/Rescue,59
20/01/2012,Public Service Assistance,23
21/01/2012,False Alarm,38
21/01/2012,Hazardous Condition,14
21/01/2012,Investigation,16
21/01/2012,Medical/Rescue,74
21/01/2012,Public Service Assistance,21
21/01/2012,Severe Weather,1
22/01/2012,False Alarm,32
22/01/2012,Hazardous Condition,18
22/01/2012,Investigation,11
22/01/2012,Medical/Rescue,68
22/01/2012,Public Service Assistance,26
23/01/2012,False Alarm,38
23/01/2012,Hazardous Condition,18
23/01/2012,Investigation,7
23/01/2012,Medical/Rescue,65
23/01/2012,Public Service Assistance,5
24/01/2012,False Alarm,18
24/01/2012,Hazardous Condition,17
24/01/2012,Investigation,14
24/01/2012,Medical/Rescue,66
24/01/2012,Public Service Assistance,8
25/01/2012,False Alarm,18
25/01/2012,Hazardous Condition,16
25/01/2012,Investigation,8
25/01/2012,Medical/Rescue,67
21/06/2010,Medical/Rescue,51
15/09/2010,False Alarm,28
16/10/2010,Investigation,12
30/12/2010,Investigation,19
19/01/2011,Hazardous Condition,17
20/03/2011,Investigation,8
06/07/2011,Hazardous Condition,20
04/09/2011,Public Service Assistance,11
25/01/2012,Public Service Assistance,11
26/01/2012,Hazardous Condition,28
26/01/2012,Investigation,12
26/01/2012,Medical/Rescue,80
26/01/2012,Public Service Assistance,5
27/01/2012,Hazardous Condition,30
27/01/2012,Investigation,17
27/01/2012,Medical/Rescue,54
27/01/2012,Public Service Assistance,4
28/01/2012,False Alarm,17
28/01/2012,Hazardous Condition,9
28/01/2012,Investigation,16
28/01/2012,Medical/Rescue,76
28/01/2012,Public Service Assistance,9
29/01/2012,False Alarm,18
29/01/2012,Fire,4
29/01/2012,Hazardous Condition,15
29/01/2012,Investigation,12
29/01/2012,Medical/Rescue,75
29/01/2012,Public Service Assistance,6
30/01/2012,Fire,6
30/01/2012,Hazardous Condition,18
30/01/2012,Investigation,15
30/01/2012,Medical/Rescue,80
30/01/2012,Public Service Assistance,4
31/01/2012,False Alarm,23
31/01/2012,Hazardous Condition,17
31/01/2012,Investigation,8
31/01/2012,Medical/Rescue,59
31/01/2012,Public Service Assistance,6
01/02/2012,Hazardous Condition,16
01/02/2012,Medical/Rescue,60
01/02/2012,Public Service Assistance,6
02/02/2012,False Alarm,19
02/02/2012,Hazardous Condition,24
02/02/2012,Investigation,16
02/02/2012,Medical/Rescue,75
02/02/2012,Public Service Assistance,6
03/02/2012,False Alarm,26
03/02/2012,Fire,6
03/02/2012,Hazardous Condition,26
03/02/2012,Investigation,14
03/02/2012,Medical/Rescue,76
27/04/2010,Investigation,13
20/05/2010,Medical/Rescue,57
21/09/2010,Investigation,14
10/10/2010,Investigation,11
26/11/2010,Investigation,14
01/02/2011,Fire,6
21/02/2011,Hazardous Condition,7
30/03/2011,Investigation,15
03/02/2012,Public Service Assistance,7
04/02/2012,Hazardous Condition,26
04/02/2012,Investigation,14
04/02/2012,Medical/Rescue,73
04/02/2012,Public Service Assistance,8
05/02/2012,False Alarm,12
05/02/2012,Hazardous Condition,19
05/02/2012,Investigation,14
05/02/2012,Public Service Assistance,5
05/02/2012,Rupture/Explosion,1
06/02/2012,False Alarm,18
06/02/2012,Fire,5
06/02/2012,Hazardous Condition,22
06/02/2012,Investigation,12
06/02/2012,Medical/Rescue,71
06/02/2012,Public Service Assistance,7
07/02/2012,False Alarm,21
07/02/2012,Hazardous Condition,28
07/02/2012,Investigation,10
07/02/2012,Medical/Rescue,70
07/02/2012,Public Service Assistance,3
08/02/2012,Fire,11
08/02/2012,Hazardous Condition,29
08/02/2012,Investigation,66
08/02/2012,Medical/Rescue,72
08/02/2012,Public Service Assistance,15
09/02/2012,Hazardous Condition,24
09/02/2012,Investigation,14
09/02/2012,Medical/Rescue,65
09/02/2012,Public Service Assistance,4
10/02/2012,False Alarm,18
