Asset Name,Asset ID,Asset Type,Operating Status,Pool Participant Name,Pool Participant ID
"981L 9829 Ret #5","981L","Sink","Active","Campus Energy Partners LP","9829"
"981R 9829 Ret #6","981R","Sink","Active","Campus Energy Partners LP","9829"
"981U 9829 Ret #4","981U","Sink","Active","Campus Energy Partners LP","9829"
"981X 9829 Ret #2","981X","Sink","Active","Campus Energy Partners LP","9829"
"991A 9948 Ret #1","991A","Sink","Active","Campus Energy Partners LP","9948"
"991C 9948 Ret #6","991C","Sink","Active","Campus Energy Partners LP","9948"
"991E 9948 Ret #3","991E","Sink","Active","Campus Energy Partners LP","9948"
"991F 9948 Ret #8","991F","Sink","Retired","AltaGas Ltd.","9948"
"991L 9948 Ret #9","991L","Sink","Active","Campus Energy Partners LP","9948"
"991P 9948 Ret #4","991P","Sink","Active","Campus Energy Partners LP","9948"
"991R 9948 Ret #10","991R","Sink","Active","Campus Energy Partners LP","9948"
"991U 9948 Ret #2","991U","Sink","Active","Campus Energy Partners LP","9948"
"991W 9948 Ret #7","991W","Sink","Retired","AltaGas Ltd.","9948"
"991X 9948 Ret #5","991X","Sink","Active","Campus Energy Partners LP","9948"
"AA1A ACE Ret #1","AA1A","Sink","Active","Gas Alberta Energy (JV)","ACE"
"AA1C ACE Ret #7","AA1C","Sink","Active","Gas Alberta Energy (JV)","ACE"
"AA1E ACE Ret #2","AA1E","Sink","Active","Gas Alberta Energy (JV)","ACE"
"AA1F ACE Retail #10","AA1F","Sink","Retired","Alberta Cooperative Energy","ACE"
"AA1L ACE Ret #5","AA1L","Sink","Active","Gas Alberta Energy (JV)","ACE"
"AA1P ACE Retail #8","AA1P","Sink","Active","Gas Alberta Energy (JV)","ACE"
"AA1R ACE Retail #11","AA1R","Sink","Active","Gas Alberta Energy (JV)","ACE"
"AA1U ACE Ret #4","AA1U","Sink","Active","Gas Alberta Energy (JV)","ACE"
"AA1U E2SA Ret #7","EA2U","Sink","Retired","Alberta Energy Savings L.P.","E2SA"
"AA1W ACE Retail #9","AA1W","Sink","Retired","Alberta Cooperative Energy","ACE"
"AA1X ACE Ret #6","AA1X","Sink","Active","Gas Alberta Energy (JV)","ACE"
"AA2E ACE Ret #3","AA2E","Sink","Active","Gas Alberta Energy (JV)","ACE"
"AAM1 NDP","AAM1","Source","Inactive","NDP","NDP"
"AB Line Loss","ABLL","Sink","Active","AESO - Transmission","TAOA"
"AB1U ALB SR#1","AB1U","Sink","Retired","Albchem Industries Ltd.","ALB"
"ABCI Albchem Ind Load","ABCI","Sink","Retired","ERCO Worldwide a Div. of Superior Plus LP","STP"
"ABCP APC BC Import","ABCP","Source","Active","Heartland Generation Ltd.","APC"
"ABL1 ABL","ABL1","Source","Retired","1112500 Alberta Ltd.","ABL"
"AC1A  AEC SR#1","AC1A","Sink","Retired","Alberta Energy Company Ltd","AEC"
"AC1U AEC SR#2","AC1U","Sink","Retired","Alberta Energy Company Ltd","AEC"
"ACBC BC Import Unit","ACBC","Source","Retired","Aquila Canada Corp.","ACC"
"ACC Export to BCH #0","ACE0","Sink","Retired","Aquila Canada Corp.","ACC"
"ACC Export to BCH #8","ACE8","Sink","Retired","Aquila Canada Corp.","ACC"
"ACC Export to BCH #9","ACE9","Sink","Retired","Aquila Canada Corp.","ACC"
"ACC Import from BCH #0","ACI0","Source","Retired","Aquila Canada Corp.","ACC"
"ACC Import from BCH #1","ACI1","Source","Retired","Aquila Canada Corp.","ACC"
"ACC Import from BCH #2","ACI2","Source","Retired","Aquila Canada Corp.","ACC"
"ACC Import from BCH #3","ACI3","Source","Retired","Aquila Canada Corp.","ACC"
"ACC Import from BCH #4","ACI4","Source","Retired","Aquila Canada Corp.","ACC"
"ACC Import from BCH #5","ACI5","Source","Retired","Aquila Canada Corp.","ACC"
"ACC Import from BCH #6","ACI6","Source","Retired","Aquila Canada Corp.","ACC"
"ACC Import from BCH #7","ACI7","Source","Retired","Aquila Canada Corp.","ACC"
"ACC Import from BCH #8","ACI8","Source","Retired","Aquila Canada Corp.","ACC"
"ACC Import from BCH #9","ACI9","Source","Retired","Aquila Canada Corp.","ACC"
"ACC Import from SPC #A","ACIA","Source","Retired","Aquila Canada Corp.","ACC"
"ACC Import from SPC #B","ACIB","Source","Retired","Aquila Canada Corp.","ACC"
"ACC Import from SPC #C","ACIC","Source","Retired","Aquila Canada Corp.","ACC"
"ACC+ ACC FM Buy","ACC+","Sink","Retired","Aquila Canada Corp.","ACC"
"ACC- ACC FM Sell","ACC-","Source","Retired","Aquila Canada Corp.","ACC"
"ACE1 ACC Export to BCH #1","ACE1","Sink","Retired","Aquila Canada Corp.","ACC"
"ACE2 ACC Export to BCH #2","ACE2","Sink","Retired","Aquila Canada Corp.","ACC"
"ACE3 ACC Export to BCH #3","ACE3","Sink","Retired","Aquila Canada Corp.","ACC"
"ACE4 ACC Export to BCH #4","ACE4","Sink","Retired","Aquila Canada Corp.","ACC"
"ACE5 ACC Export to BCH #5","ACE5","Sink","Retired","Aquila Canada Corp.","ACC"
"ACE6 ACC Export to BCH #6","ACE6","Sink","Retired","Aquila Canada Corp.","ACC"
"ACE7 ACC Export to BCH #7","ACE7","Sink","Retired","Aquila Canada Corp.","ACC"
"ACEA ACC Export to SPC #A","ACEA","Sink","Retired","Aquila Canada Corp.","ACC"
"ACEB ACC Export to SPC #B","ACEB","Sink","Retired","Aquila Canada Corp.","ACC"
"ACEC ACC Export to SPC #C","ACEC","Sink","Retired","Aquila Canada Corp.","ACC"
"ACR+ ACRL FM Buy","ACR+","Sink","Active","Canadian Natural Resources Limited","ACRL"
"ACR- ACRL FM Sell","ACR-","Source","Active","Canadian Natural Resources Limited","ACRL"
"ACRL Load Unit","ACRL","Sink","Active","Canadian Natural Resources Limited","ACRL"
"ACSK Sask Import Unit","ACSK","Source","Retired","Aquila Canada Corp.","ACC"
"AD1A ADC SR#1","AD1A","Sink","Retired","Canadian Natural Resources Ltd.","ADC"
"AD1R ADOG Ret #1","AD1R","Sink","Active","Advantage Energy Ltd.","ADOG"
"AD1U ADC SR#2","AD1U","Sink","Retired","Canadian Natural Resources Ltd.","ADC"
"ADA1 NDP","ADA1","Source","Inactive","NDP","NDP"
"ADC+ ADC FM Buy","ADC+","Sink","Retired","Canadian Natural Resources Ltd.","ADC"
"ADC- ADC FM Sell","ADC-","Source","Retired","Canadian Natural Resources Ltd.","ADC"
"ADEC Pincher Creek","ADEC","Source","Retired","Castle Rock Ridge LP","CRR"
"ADM1 AGRI Lloyd","ADM1","Source","Active","ADM Agri-Industries Company","ADM"
"AE1A AEL SR#1","AE1A","Sink","Retired","Archean Energy Ltd","AEL"
"AE1U AEL SR#2","AE1U","Sink","Retired","Archean Energy Ltd","AEL"
"AEBC AEI BC Import","AEBC","Source","Retired","Avista Energy Inc.","AEI"
"AEC AEC Transmission Load","AEC","Sink","Retired","Alberta Energy Company Ltd","AEC"
"AEC+ AEC FM Buy","AEC+","Sink","Retired","Alberta Energy Company Ltd","AEC"
"AEC- AEC FM Sell","AEC-","Source","Retired","Alberta Energy Company Ltd","AEC"
"AECL AECO SUPL","AECL","Sink","Suspended","AECO Gas Storage Partnership","AECO"
"AECO AECO TC LOAD","AECO","Sink","Active","AECO Gas Storage Partnership","AECO"
"AEL+ AEL FM Buy","AEL+","Sink","Retired","Archean Energy Ltd","AEL"
"AEL- AEL FM Sell","AEL-","Source","Retired","Archean Energy Ltd","AEL"
"AEXB AEI BC Export","AEXB","Sink","Retired","Avista Energy Inc.","AEI"
"AF1A AEIF SR #1","AF1A","Sink","Retired","Advantage Energy Income Fund","AEIF"
"AF1E AEIF SR #2","AF1E","Sink","Retired","Advantage Energy Income Fund","AEIF"
"AF1U AEIF SR #3","AF1U","Sink","Retired","Advantage Energy Income Fund","AEIF"
"AFG1 APF Athabasca","AFG1","Source","Active","Alberta Pacific Forest Industries Inc.","APF"
"AG1A AGS SR#1","AG1A","Sink","Active","AltaGas Ltd.","AGS"
"AG1E AGS SR#3","AG1E","Sink","Active","AltaGas Ltd.","AGS"
"AG1U AGS SR#2","AG1U","Sink","Active","AltaGas Ltd.","AGS"
"AG2E AGS SR #4","AG2E","Sink","Active","AltaGas Ltd.","AGS"
"AGR+ AGR FM Buy","AGR+","Sink","Active","Agrium Inc.","AGRI"
"AGR- AGR FM Sell","AGR-","Source","Active","Agrium Inc.","AGRI"
"AGRI AG1X SR#2","AG1X","Sink","Active","Agrium Inc.","AGRI"
"AGS AGS Transmission Load","AGS","Sink","Active","AltaGas Ltd.","AGS"
"AGS+ AGS FM Buy","AGS+","Sink","Active","AltaGas Ltd.","AGS"
"AGS- AGS FM Sell","AGS-","Source","Active","AltaGas Ltd.","AGS"
"AH1A ACEY Ret #1","AH1A","Sink","Active","Gas Alberta Energy (JV)","ACEY"
"AH1E ACEY Ret #4","AH1E","Sink","Active","Gas Alberta Energy (JV)","ACEY"
"AH1U ACEY Ret #2","AH1U","Sink","Active","Gas Alberta Energy (JV)","ACEY"
"AH1X ACEY Ret #3","AH1X","Sink","Active","Gas Alberta Energy (JV)","ACEY"
"AI1U AGRI SR#1","AI1U","Sink","Active","Agrium Inc.","AGRI"
"AI2A AINS SR #1","AI2A","Sink","Retired","Ainsworth Lumber Co. Ltd.","AINS"
"AILI Interruptible load","AILI","Sink","Active","Air Liquide Canada Inc.","AILI"
"AIP+ AIPC FM Buy","AIP+","Sink","Retired","Altek Independent Power Corp","AIPC"
"AIP- AIPC FM Sell","AIP-","Source","Retired","Altek Independent Power Corp","AIPC"
"AKE1 McBride Lake Windfarm","AKE1","Source","Active","ENMAX Energy Corporation","E12"
"AL1A ALPL RET #1","AL1A","Sink","Active","Alberta Power (2000) Ltd.","ALPL"
"AL1A E2SA Ret #1","EA2A","Sink","Retired","Alberta Energy Savings L.P.","E2SA"
"AL1C ALPL Ret #8","AL1C","Sink","Active","Alberta Power (2000) Ltd.","ALPL"
"AL1C E2SA Ret #8","EA2C","Sink","Retired","Alberta Energy Savings L.P.","E2SA"
"AL1E ALPL Ret #2","AL1E","Sink","Active","Alberta Power (2000) Ltd.","ALPL"
"AL1E E2SA Ret #5","EA2E","Sink","Retired","Alberta Energy Savings L.P.","E2SA"
"AL1F ALPL Ret #10","AL1F","Sink","Retired","Alberta Power (2000) Ltd.","ALPL"
"AL1F E2SA Ret #10","EA2F","Sink","Retired","Alberta Energy Savings L.P.","E2SA"
"AL1L ALPL Ret #5","AL1L","Sink","Active","Alberta Power (2000) Ltd.","ALPL"
"AL1L E2SA Ret #3","EA2L","Sink","Retired","Alberta Energy Savings L.P.","E2SA"
"AL1P ALPL Ret #6","AL1P","Sink","Active","Alberta Power (2000) Ltd.","ALPL"
"AL1P E2SA Ret #6","EA2P","Sink","Retired","Alberta Energy Savings L.P.","E2SA"
"AL1R ALPL Ret #11","AL1R","Sink","Active","Alberta Power (2000) Ltd.","ALPL"
"AL1R E2SA Ret #4","EA2R","Sink","Retired","Alberta Energy Savings L.P.","E2SA"
"AL1U ANC SR#1","AL1U","Sink","Active","Alberta Newsprint Company","ANC"
"AL1W ALPL Ret #9","AL1W","Sink","Retired","Alberta Power (2000) Ltd.","ALPL"
"AL1W E2SA Ret #9","EA2W","Sink","Retired","Alberta Energy Savings L.P.","E2SA"
"AL1X ALPL Ret #7","AL1X","Sink","Active","Alberta Power (2000) Ltd.","ALPL"
"AL1X E2SA Ret #2","EA2X","Sink","Retired","Alberta Energy Savings L.P.","E2SA"
"AL2E ALPL Ret #3","AL2E","Sink","Active","Alberta Power (2000) Ltd.","ALPL"
"AL2U ALPL Ret #4","AL2U","Sink","Active","Alberta Power (2000) Ltd.","ALPL"
"ALC Air Liquide Scotford Load","ALC","Sink","Active","Air Liquide Canada Inc.","ALC"
"ALC+ ALC FM Buy","ALC+","Sink","Active","Air Liquide Canada Inc.","ALC"
"ALC- ALC FM Sell","ALC-","Source","Active","Air Liquide Canada Inc.","ALC"
"ALP1 Bantry","ALP1","Source","Active","Campus Energy Partners LP","CAMP"
"ALP2 Parkland","ALP2","Source","Active","Campus Energy Partners LP","CAMP"
"ALP3 Gordondale","ALP3","Source","Active","AltaGas Ltd.","ALP"
"ALPL ALPL TC Load","ALPL","Sink","Active","Alberta Power (2000) Ltd.","ALPL"
"ALPT TC Load","ALPT","Sink","Active","Alberta Power (2000) Ltd.","ALPT"
"ALS1 Air Liquide Scotford #1","ALS1","Source","Active","Air Liquide Canada Inc.","ALC"
"AM1U AML SR#1","AM1U","Sink","Retired","ATCO Midstream Ltd","AML"
"AML+ AML FM Buy","AML+","Sink","Retired","ATCO Midstream Ltd","AML"
"AML- AML FM Sell","AML-","Source","Retired","ATCO Midstream Ltd","AML"
"AN1A AND SR#1","AN1A","Sink","Retired","Devon Canada Corporation","AND"
"AN1U AND SR#2","AN1U","Sink","Retired","Devon Canada Corporation","AND"
"ANC+ ANC FM Buy","ANC+","Sink","Active","Alberta Newsprint Company","ANC"
"ANC- ANC FM Sell","ANC-","Source","Active","Alberta Newsprint Company","ANC"
"ANC1 AB Newsprint","ANC1","Source","Active","Alberta Newsprint Company","ANC"
"ANCI ANC Ind load","ANCI","Sink","Active","Alberta Newsprint Company","ANC"
"AND+ AND FM Buy","AND+","Sink","Retired","Devon Canada Corporation","AND"
"AND- AND FM Sell","AND-","Source","Retired","Devon Canada Corporation","AND"
"ANPC LSSi","ANPC","Sink","Active","Alberta Newsprint Company","ANC"
"AO1A AOGL SR#1","AO1A","Sink","Retired","Avid Oil &amp; Gas Ltd","AOGL"
"AOG+ AOGL FM Buy","AOG+","Sink","Retired","Avid Oil &amp; Gas Ltd","AOGL"
"AOG- AOGL FM Sell","AOG-","Source","Retired","Avid Oil &amp; Gas Ltd","AOGL"
"AP1A APCL SR#1","AP1A","Sink","Retired","Apache Canada Ltd","APCL"
"AP1U APCL SR#2","AP1U","Sink","Retired","Apache Canada Ltd","APCL"
"AP2+ ALPL FM BUY","AP2+","Sink","Active","Alberta Power (2000) Ltd.","ALPL"
"AP2- ALPL FM SELL","AP2-","Source","Active","Alberta Power (2000) Ltd.","ALPL"
"APAC APF LSSi","APAC","Sink","Active","Alberta Pacific Forest Industries Inc.","APF"
"APBC BC Import Unit","APBC","Source","Retired","ATCO Electric","APL"
"APC+ APCL FM Buy","APC+","Sink","Retired","Apache Canada Ltd","APCL"
"APC- APCL FM Sell","APC-","Source","Retired","Apache Canada Ltd","APCL"
"APF APF TC Load","APF","Sink","Active","Alberta Pacific Forest Industries Inc.","APF"
"API Grain IPP","APG1","Source","Retired","API Grain Processors Ltd.","APIG"
"APL Firm Load","APL","Sink","Retired","ATCO Electric","APL"
"APL Import from BCH","API2","Source","Retired","ATCO Electric","APL"
"APL Import from SPC","API1","Source","Retired","ATCO Electric","APL"
"APL Import from SPC","API3","Source","Retired","ATCO Electric","APL"
"APL+ APL FM Buy","APL+","Sink","Active","ATCO Electric Ltd.","APL"
"APL- APL FM Sell","APL-","Source","Active","ATCO Electric Ltd.","APL"
"APL1 Z-1 ATCO Electric","APL1","Sink","Active","ATCO Electric Ltd.","APL"
"APMT APC MT Import","APMT","Source","Active","Heartland Generation Ltd.","APC"
"APN+ APNC FM buy","APN+","Sink","Active","Heartland Generation Ltd.","APNC"
"APN- APNC FM Sell","APN-","Source","Active","Heartland Generation Ltd.","APNC"
"APN1 APL Interruptible #1","APN1","Sink","Active","ATCO Electric Ltd.","APL"
"APN2 APL Interruptible #2","APN2","Sink","Retired","ATCO Electric","APL"
"APN3 APL Interruptible #3","APN3","Sink","Retired","ATCO Electric","APL"
"APN4 APL Interruptible #4","APN4","Sink","Retired","ATCO Electric","APL"
"APNC Nova Joffre Load","APNC","Sink","Active","Heartland Generation Ltd.","APNC"
"APS1 Scotford Cogen","APS1","Source","Active","Heartland Generation Ltd.","APSU"
"APSK Sask Import Unit","APSK","Source","Retired","ATCO Electric","APL"
"APTN TC Load","APTN","Sink","Active","ATCO Power (2010) Ltd.","APTN"
"APX1 APL Export to SPC","APX1","Sink","Retired","ATCO Electric","APL"
"APX2 APL Export to SPC","APX2","Sink","Retired","ATCO Electric","APL"
"APX3 APL Export to SPC","APX3","Sink","Retired","ATCO Electric","APL"
"APX4 APL Export to SPC","APX4","Sink","Retired","ATCO Electric","APL"
"APX5 APL Export to BCH","APX5","Sink","Retired","ATCO Electric","APL"
"APX6 APL Export to BCH","APX6","Sink","Retired","ATCO Electric","APL"
"APX7 APL Export to BCH","APX7","Sink","Retired","ATCO Electric","APL"
"APX8 APL Export to BCH","APX8","Sink","Retired","ATCO Electric","APL"
"APXB APC BC Export","APXB","Sink","Active","Heartland Generation Ltd.","APC"
"APXM APC MT Export","APXM","Sink","Active","Heartland Generation Ltd.","APC"
"AQ1A  ACC Atco LSA R#1","AQ1A","Sink","Retired","Aquila Canada Corp.","ACC"
"AQ1E ACC Ret #4","AQ1E","Sink","Retired","Aquila Canada Corp.","ACC"
"AQ1L ACC Ret #5","AQ1L","Sink","Retired","Aquila Canada Corp.","ACC"
"AQ1U ACC SR","AQ1U","Sink","Retired","Aquila Canada Corp.","ACC"
"AQ1X ACC R#2","AQ1X","Sink","Retired","Aquila Canada Corp.","ACC"
"AQBC AQP BC Import","AQBC","Source","Retired","Aquilon Power Silverhill Fund L.P.","AQP"
"AQSK AQP Sask Import","AQSK","Source","Retired","Aquilon Power Silverhill Fund L.P.","AQP"
"AQU1 Flyingshot","AQU1","Source","Active","Aquatera Utilities Inc.","AQUI"
"AQXB AQP Export to BC","AQXB","Sink","Retired","Aquilon Power Silverhill Fund L.P.","AQP"
"AQXS AQP Export to Sask","AQXS","Sink","Retired","Aquilon Power Silverhill Fund L.P.","AQP"
"AR1A ARC SR#1","AR1A","Sink","Retired","ARC Resources Ltd","ARC"
"AR1U ARC SR#2","AR1U","Sink","Retired","ARC Resources Ltd","ARC"
"AR2A ARGL SR#1","AR2A","Sink","Retired","Lightning Oil &amp; Gas Ltd.","ARGL"
"ARC+ ARC FM Buy","ARC+","Sink","Retired","ARC Resources Ltd","ARC"
"ARC- ARC FM Sell","ARC-","Source","Retired","ARC Resources Ltd","ARC"
"ARC1","ARC1","Source","Active","Canadian Natural Resources Limited","CNRL"
"ARD1 Ardenville","ARD1","Source","Active","TransAlta Corporation","VQW"
"AS1A ASL SR#1","AS1A","Sink","Retired","Alta Steel Ltd","ASL"
"AS1U ASL SR#2","AS1U","Sink","Retired","Alta Steel Ltd","ASL"
"AS2A AES2 Ret #1","AS2A","Sink","Active","Just Energy Alberta L.P.","AES2"
"AS2C AES2 Ret #10","AS2C","Sink","Active","Just Energy Alberta L.P.","AES2"
"AS2E AES2 Ret #3","AS2E","Sink","Active","Just Energy Alberta L.P.","AES2"
"AS2F AES2 Ret #9","AS2F","Sink","Retired","Just Energy Alberta L.P.","AES2"
"AS2L AES2 Ret #5","AS2L","Sink","Active","Just Energy Alberta L.P.","AES2"
"AS2P AES2 Ret #8","AS2P","Sink","Active","Just Energy Alberta L.P.","AES2"
"AS2R AES2 Ret #7","AS2R","Sink","Active","Just Energy Alberta L.P.","AES2"
"AS2U AES2 Ret #4","AS2U","Sink","Active","Just Energy Alberta L.P.","AES2"
"AS2W AES2 Ret #6","AS2W","Sink","Retired","Just Energy Alberta L.P.","AES2"
"AS2X AES2 Ret #2","AS2X","Sink","Active","Just Energy Alberta L.P.","AES2"
"ASEI ASEI Transmission Load","ASEI","Sink","Retired","Albian Sands Energy Inc.","ASEI"
"ASL+ ASL FM Buy","ASL+","Sink","Retired","Alta Steel Ltd","ASL"
"ASL- ASL FM Sell","ASL-","Source","Retired","Alta Steel Ltd","ASL"
"ASR1 Astoria","ASR1","Source","Active","ATCO Electric Ltd.","APL"
"AT1A APC Ret 1","AT1A","Sink","Retired","Heartland Generation Ltd.","APC"
"AT1C APC Ret 8","AT1C","Sink","Retired","Heartland Generation Ltd.","APC"
"AT1E APC Ret 2","AT1E","Sink","Retired","Heartland Generation Ltd.","APC"
"AT1F APC Ret 10","AT1F","Sink","Retired","ATCO Power Canada Ltd.","APC"
"AT1L APC Ret 5","AT1L","Sink","Retired","Heartland Generation Ltd.","APC"
"AT1P APC Ret 6","AT1P","Sink","Retired","Heartland Generation Ltd.","APC"
"AT1R APC Ret 11","AT1R","Sink","Retired","Heartland Generation Ltd.","APC"
"AT1U APC Ret 4","AT1U","Sink","Retired","Heartland Generation Ltd.","APC"
"AT1W APC Ret 9","AT1W","Sink","Retired","ATCO Power Canada Ltd.","APC"
"AT1X APC Ret 7","AT1X","Sink","Retired","Heartland Generation Ltd.","APC"
"AT2+ APC FM BUY","AT2+","Sink","Active","Heartland Generation Ltd.","APC"
"AT2-APC FM SELL","AT2-","Source","Active","Heartland Generation Ltd.","APC"
"AT2E APC Ret 3","AT2E","Sink","Retired","Heartland Generation Ltd.","APC"
"ATBC ATPC Import from BC","ATBC","Source","Retired","ATCO Power Canada Ltd.","ATPC"
"ATCO Border Generators #1","ABG1","Source","Active","ATCO Electric Ltd.","APL"
"ATCO Isolated Generators #1","AIG1","Source","Active","AESO - Transmission","TAOA"
"ATCO Temp Generator#1","ATG1","Source","Active","ATCO Electric Ltd.","APL"
"ATG2 Temp Generator #2","ATG2","Source","Active","ATCO Electric Ltd.","APL"
"ATSK ATPC Import from Sask","ATSK","Source","Retired","ATCO Power Canada Ltd.","ATPC"
"ATXB ATPC Export to BC","ATXB","Sink","Retired","ATCO Power Canada Ltd.","ATPC"
"ATXS ATPC Export to Sask","ATXS","Sink","Retired","ATCO Power Canada Ltd.","ATPC"
"AU1A AMBT RET#1","AU1A","Sink","Active","Ambit Energy Canada, ULC","AMBT"
"AU1E AMBT RET#4","AU1E","Sink","Active","Ambit Energy Canada, ULC","AMBT"
"AU1U AMBT RET#2","AU1U","Sink","Active","Ambit Energy Canada, ULC","AMBT"
"AU1X AMBT RET#3","AU1X","Sink","Active","Ambit Energy Canada, ULC","AMBT"
"AUS AEC Transmission Load","AUS","Sink","Retired","Alberta Energy Company Ltd","AEC"
"AV1A ABUS Ret #1","AV1A","Sink","Active","Active Energy Inc.","ABUS"
"AV1E ABUS Ret #5","AV1E","Sink","Active","Active Energy Inc.","ABUS"
"AV1R ABUS Ret #4","AV1R","Sink","Active","Active Energy Inc.","ABUS"
"AV1U ABUS Ret #2","AV1U","Sink","Active","Active Energy Inc.","ABUS"
"AV1X ABUS Ret #3","AV1X","Sink","Active","Active Energy Inc.","ABUS"
"AV1l ABUS Ret #7","AV1L","Sink","Active","Active Energy Inc.","ABUS"
